Date : 2024-01-18 01:06:00
Directory : /workspaces/RiseNote/config
Total : 95 files,  -706 codes, 0 comments, -137 blanks, all -843 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Ruby     |         55 |         55 |          0 |          6 |         61 |
| erb      |         40 |       -761 |          0 |       -143 |       -904 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                 |         95 |       -706 |          0 |       -137 |       -843 |
| . (Files)                                                                         |          6 |        105 |          0 |         29 |        134 |
| ..                                                                                |         80 |     -1,307 |          0 |       -301 |     -1,608 |
| ../app                                                                            |         80 |     -1,307 |          0 |       -301 |     -1,608 |
| ../app/channels                                                                   |          2 |         -8 |          0 |         -2 |        -10 |
| ../app/channels/application_cable                                                 |          2 |         -8 |          0 |         -2 |        -10 |
| ../app/controllers                                                                |         17 |       -415 |          0 |       -109 |       -524 |
| ../app/controllers (Files)                                                        |         11 |       -235 |          0 |        -56 |       -291 |
| ../app/controllers/users                                                          |          6 |       -180 |          0 |        -53 |       -233 |
| ../app/helpers                                                                    |         11 |        -22 |          0 |        -11 |        -33 |
| ../app/jobs                                                                       |          1 |         -6 |          0 |         -2 |         -8 |
| ../app/mailers                                                                    |          1 |         -4 |          0 |         -1 |         -5 |
| ../app/models                                                                     |          8 |        -91 |          0 |        -33 |       -124 |
| ../app/views                                                                      |         40 |       -761 |          0 |       -143 |       -904 |
| ../app/views/devise                                                               |         14 |       -191 |          0 |        -67 |       -258 |
| ../app/views/devise/confirmations                                                 |          1 |        -12 |          0 |         -5 |        -17 |
| ../app/views/devise/mailer                                                        |          5 |        -20 |          0 |        -15 |        -35 |
| ../app/views/devise/passwords                                                     |          2 |        -32 |          0 |        -11 |        -43 |
| ../app/views/devise/registrations                                                 |          2 |        -58 |          0 |        -16 |        -74 |
| ../app/views/devise/sessions                                                      |          1 |        -22 |          0 |         -8 |        -30 |
| ../app/views/devise/shared                                                        |          2 |        -35 |          0 |         -7 |        -42 |
| ../app/views/devise/unlocks                                                       |          1 |        -12 |          0 |         -5 |        -17 |
| ../app/views/folders                                                              |          1 |        -43 |          0 |         -7 |        -50 |
| ../app/views/hello                                                                |          1 |         -1 |          0 |         -1 |         -2 |
| ../app/views/home                                                                 |          1 |        -22 |          0 |         -3 |        -25 |
